Ortholog_Group_ID,Dananassae_Gene,Dananassae_Chromosome,Dananassae_Start,Dananassae_Strand,Dsimulans_Gene,Dsimulans_Chromosome,Dsimulans_Start,Dsimulans_Strand,Dyakuba_Gene,Dyakuba_Chromosome,Dyakuba_Start,Dyakuba_Strand,Dsuzukii_Gene,Dsuzukii_Chromosome,Dsuzukii_Start,Dsuzukii_Strand,Dmiranda_Gene,Dmiranda_Chromosome,Dmiranda_Start,Dmiranda_Strand,Dmauritiana_Gene,Dmauritiana_Chromosome,Dmauritiana_Start,Dmauritiana_Strand,Dsechellia_Gene,Dsechellia_Chromosome,Dsechellia_Start,Dsechellia_Strand,Dsantomea_Gene,Dsantomea_Chromosome,Dsantomea_Start,Dsantomea_Strand,Dmelanogaster_Gene,Dmelanogaster_Chromosome,Dmelanogaster_Start,Dmelanogaster_Strand
56265at7215,LOC6494574,NC_057929.1,10118502,-,LOC6733395,NC_052521.2,4937022,-,LOC6528447,NC_052527.2,16266387,-,LOC108017924,NW_023496808.1,2811376,-,LOC108158124,NC_046676.1,16606219,-,LOC117136658,NC_046668.1,6105692,-,LOC6608020,NC_045950.1,3850091,-,LOC120450712,NC_053016.2,16329963,-,boca,NT_033778.4,7565873,-
57218at7215,LOC6495104,NC_057929.1,3265341,-,LOC6733323,NC_052521.2,4456463,-,LOC6528377,NC_052527.2,15799671,-,LOC108017759,NW_023496808.1,2247908,-,LOC108160682,NC_046676.1,5015766,-,LOC117135838,NC_046668.1,5615969,-,LOC6607944,NC_045950.1,3354515,-,LOC120453034,NC_053016.2,15861587,-,Tsp42Eq,NT_033778.4,7062108,-
57534at7215,LOC6495991,NC_057929.1,9250768,+,LOC6733288,NC_052521.2,4301694,+,LOC6528341,NC_052527.2,15650484,+,LOC108017709,NW_023496808.1,2057512,+,LOC108160827,NC_046676.1,4854549,+,LOC117138046,NC_046668.1,5457891,+,LOC6607909,NC_045950.1,3198747,+,LOC120458525,NC_053016.2,15713003,+,Dmel\CG30158,NT_033778.4,6891760,+
58038at7215,LOC6495414,NC_057929.1,1298609,+,LOC6733609,NC_052521.2,6268626,-,LOC6528652,NC_052527.2,17591394,-,LOC108019852,NW_023496808.1,4710224,+,LOC108160131,NC_046676.1,14934154,+,LOC117137399,NC_046668.1,7415585,-,LOC6608242,NC_045950.1,5146447,-,LOC120458668,NC_053016.2,17663157,-,ana2,NT_033778.4,8898729,-
59241at7215,LOC6495089,NC_057929.1,3556784,-,LOC6733351,NC_052521.2,4754253,-,LOC6528409,NC_052527.2,16090080,-,LOC108018153,NW_023496808.1,2594992,-,LOC117187904,NC_046676.1,5895278,-,LOC117138382,NC_046668.1,5918200,-,LOC6607981,NC_045950.1,3656314,-,LOC120453014,NC_053016.2,16152376,-,cos,NT_033778.4,7382176,-
59334at7215,LOC6495231,NC_057929.1,1443877,-,LOC6733596,NC_052521.2,6112077,+,LOC6528642,NC_052527.2,17434039,+,LOC108019861,NW_023496808.1,4862329,-,LOC108160462,NC_046676.1,15075455,-,LOC117135922,NC_046668.1,7253878,+,LOC6608231,NC_045950.1,5000182,+,LOC120444745,NC_053016.2,17505023,+,BcDNA:GH05582,NT_033778.4,8735810,+
59341at7215,LOC6495222,NC_057929.1,1563091,-,LOC6733571,NC_052521.2,5999656,+,LOC6528621,NC_052527.2,17318640,+,LOC108019889,NW_023496808.1,5013641,-,LOC108160116,NC_046676.1,15259821,-,LOC117136738,NC_046668.1,7144576,+,LOC6608208,NC_045950.1,4882207,+,LOC120451315,NC_053016.2,17390638,+,Gle1,NT_033778.4,8627900,+
60043at7215,LOC6494064,NC_057929.1,16607256,-,LOC6733375,NC_052521.2,4831867,+,LOC6528426,NC_052527.2,16164629,+,LOC108018208,NW_023496808.1,2689062,+,LOC108158113,NC_046676.1,16502494,+,LOC117135505,NC_046668.1,5997971,+,LOC6607999,NC_045950.1,3741859,+,LOC120454809,NC_053016.2,16226736,+,Dmel\CG11127,NT_033778.4,7463504,+
61481at7215,LOC6495227,NC_057929.1,1500149,-,LOC6733585,NC_052521.2,6072256,+,LOC6528630,NC_052527.2,17393032,+,LOC108019831,NW_023496808.1,4931892,-,LOC108160964,NC_046676.1,15191200,-,LOC117136893,NC_046668.1,7213846,+,LOC6608217,NC_045950.1,4950839,+,LOC120458658,NC_053016.2,17463576,+,Dmel\CG8738,NT_033778.4,8696428,+
61967at7215,LOC6495106,NC_057929.1,3260043,-,LOC6733321,NC_052521.2,4450673,-,LOC6528375,NC_052527.2,15793749,-,LOC108017746,NW_023496808.1,2241093,-,LOC108160321,NC_046676.1,5008529,-,LOC117135836,NC_046668.1,5609842,-,LOC6607942,NC_045950.1,3348741,-,LOC120444148,NC_053016.2,15856031,-,Tsp42Ep,NT_033778.4,7054405,-
62478at7215,LOC6495537,NC_057929.1,3252743,+,LOC6739279,NC_052521.2,4444071,+,LOC6528372,NC_052527.2,15787409,+,LOC108017767,NW_023496808.1,2233069,+,LOC108160849,NC_046676.1,5002625,+,LOC117135842,NC_046668.1,5603260,+,LOC6607939,NC_045950.1,3342217,+,LOC120458490,NC_053016.2,15849334,+,lbm,NT_033778.4,7049238,+
64276at7215,LOC6494085,NC_057929.1,16388259,-,LOC6733472,NC_052521.2,5357456,-,LOC6528517,NC_052527.2,16685111,-,LOC108019698,NW_023496808.1,5862861,+,LOC108160987,NC_046676.1,9978977,+,LOC117136666,NC_046668.1,6514327,-,LOC6608099,NC_045950.1,4253317,-,LOC120458207,NC_053016.2,16746637,-,Hey,NT_033778.4,7995438,-
67069at7215,LOC6496504,NC_057929.1,16540706,+,LOC6733509,NC_052521.2,5523105,+,LOC6528549,NC_052527.2,16849312,+,LOC108019604,NW_023496808.1,5600409,-,LOC108160272,NC_046676.1,13953167,-,LOC117136852,NC_046668.1,6681368,+,LOC6608133,NC_045950.1,4422705,+,LOC120448079,NC_053016.2,16914133,+,Rs1,NT_033778.4,8163564,+
68334at7215,LOC6493925,NC_057929.1,18670463,-,LOC6733243,NC_052521.2,4059064,+,LOC6528297,NC_052527.2,15422967,+,LOC108018009,NW_023496808.1,1782903,+,LOC108159918,NC_046676.1,18793838,-,LOC117138159,NC_046668.1,5216008,+,LOC6607865,NC_045950.1,2947638,+,LOC120444789,NC_053016.2,15485602,+,sced,NT_033778.4,6657326,+
68648at7215,LOC6495995,NC_057929.1,9328940,+,LOC6733304,NC_052521.2,4389460,+,LOC6528357,NC_052527.2,15734159,+,LOC108017742,NW_023496808.1,2164108,+,LOC108159367,NC_046676.1,4945839,+,LOC117137297,NC_046668.1,5548830,+,LOC6607924,NC_045950.1,3284571,+,LOC120458942,NC_053016.2,15797245,+,Dmel\CG17002,NT_033778.4,6986043,+
70930at7215,LOC6495552,NC_057929.1,3462780,+,LOC6733349,NC_052521.2,4655218,+,LOC6528404,NC_052527.2,15991722,+,LOC108018248,NW_023496808.1,2481325,+,LOC108160451,NC_046676.1,5772064,+,LOC117136268,NC_046668.1,5819417,+,LOC6607976,NC_045950.1,3549911,+,LOC120458806,NC_053016.2,16054943,+,pwn,NT_033778.4,7282572,+
73031at7215,LOC26515208,NC_057929.1,1372163,-,LOC6733603,NC_052521.2,6196480,+,LOC26535492,NC_052527.2,17518468,+,LOC108019809,NW_023496808.1,4793049,-,LOC108160248,NC_046676.1,15007193,-,LOC117138343,NC_046668.1,7343386,+,LOC116800419,NC_045950.1,5074086,+,LOC120449625,NC_053016.2,17590220,+,CG8278,NT_033778.4,8826391,+
73929at7215,LOC6494084,NC_057929.1,16393202,-,LOC6733475,NC_052521.2,5363016,-,LOC6528518,NC_052527.2,16690686,-,LOC108019643,NW_023496808.1,5858142,+,LOC108158226,NC_046676.1,9975074,+,LOC117136301,NC_046668.1,6519820,-,LOC6608101,NC_045950.1,4258663,-,LOC120458844,NC_053016.2,16752071,-,Dmel\CG11191,NT_033778.4,8000490,-
74589at7215,LOC6495449,NC_057929.1,1920205,+,LOC6733523,NC_052521.2,5637392,-,LOC6528564,NC_052527.2,16949665,-,LOC108019674,NW_023496808.1,5482179,+,LOC108160995,NC_046676.1,13852898,+,LOC117138091,NC_046668.1,6782225,-,LOC6608150,NC_045950.1,4522539,-,LOC120458698,NC_053016.2,17020417,-,Dmel\CG30376,NT_033778.4,8263486,-
76804at7215,LOC6494082,NC_057929.1,16440956,-,LOC6733479,NC_052521.2,5414635,-,LOC6528523,NC_052527.2,16741319,-,LOC108019565,NW_023496808.1,5711325,+,LOC108160727,NC_046676.1,9891769,+,LOC117136273,NC_046668.1,6569899,-,LOC6608104,NC_045950.1,4313791,-,LOC120452849,NC_053016.2,16807402,-,Dmel\CG12769,NT_033778.4,8052080,-
77038at7215,LOC6496649,NC_057929.1,18894776,+,LOC6733218,NC_052521.2,3803632,-,LOC6529047,NC_052527.2,20574613,+,LOC108019651,NW_023496808.1,7557191,+,LOC108159268,NC_046676.1,23479883,-,LOC117136882,NC_046668.1,4957418,-,LOC6619184,NC_045950.1,2662913,-,LOC120458693,NC_053016.2,20616453,+,Dmel\CG17994,NT_033778.4,6207219,-
8125at7215,LOC6494074,NC_057929.1,16512254,-,LOC6733497,NC_052521.2,5487396,-,LOC6528539,NC_052527.2,16812742,-,LOC108019712,NW_023496808.1,5643393,+,LOC108158691,NC_046676.1,7588285,-,LOC117137990,NC_046668.1,6645340,-,LOC6608121,NC_045950.1,4385047,-,LOC120443921,NC_053016.2,16878723,-,Pbp49,NT_033778.4,8129354,-
66420at7215,LOC6495945,NC_057929.1,8701793,+,LOC6733560,NC_052521.2,5964065,+,LOC6528613,NC_052527.2,17283193,+,LOC108019704,NW_023496808.1,5053566,-,LOC117194133,NW_022881614.1,20208955,-,LOC117137294,NC_046668.1,7109032,+,LOC6608200,NC_045950.1,4846555,+,LOC120456315,NC_053016.2,17355077,+,TCONS_00091845,NT_033778.4,8592195,+
48079at7215,LOC6493901,NC_057929.1,19221097,-,LOC6733176,NC_052521.2,3409085,+,LOC6529097,NC_052527.2,21000124,-,LOC108014605,NW_023496935.1,71230,+,LOC108159972,NC_046676.1,17064631,+,LOC117138432,NC_046668.1,4548644,+,LOC6619135,NC_045950.1,2276691,+,LOC120454558,NC_053016.2,21035947,-,dpr12,NT_033778.4,5804712,+
22490at7215,LOC6493893,NC_057929.1,19500678,-,LOC6733154,NC_052521.2,3144814,+,LOC6539122,NC_052527.2,21659135,-,LOC108018805,NW_023497102.1,711430,-,LOC108160067,NC_046676.1,3504638,+,LOC117136188,NC_046668.1,4220966,+,LOC6619113,NC_045950.1,1966582,+,LOC120457893,NC_053016.2,21691294,-,Ugt50B3,NT_033778.4,5496674,+
12150at7215,LOC6495295,NC_057929.1,577817,-,LOC6739374,NC_052521.2,8229228,-,LOC6529341,NC_052528.2,4911823,+,LOC108008634,NW_023496807.1,8778443,+,LOC108156133,NC_046673.1,22581095,-,LOC117138375,NC_046668.1,9379199,-,LOC6608582,NC_045950.1,7090636,-,LOC120446648,NC_053017.2,3865285,+,Rpb5,NT_033778.4,10898031,-
15631at7215,LOC6496323,NC_057929.1,14646547,+,LOC6735999,NC_052521.2,21178080,-,LOC6531967,NC_052528.2,22600083,-,LOC108008480,NW_023496807.1,11823609,-,LOC108158750,NC_046676.1,7770603,+,LOC117135485,NC_046668.1,22337384,-,LOC6613004,NC_045950.1,20027921,-,LOC120444483,NC_053017.2,21413882,-,tsr,NT_033777.3,13654556,-
10054at7215,LOC6495840,NC_057929.1,7216062,+,LOC6736103,NC_052521.2,21731169,+,LOC6532088,NC_052528.2,23162617,+,LOC108009265,NW_023496807.1,5274158,-,LOC108159111,NC_046676.1,18880117,+,LOC117135532,NC_046668.1,22882798,+,LOC6618851,NC_045950.1,20572388,+,LOC120444284,NC_053017.2,21975614,+,Adck1,NT_033778.4,24611703,+
10285at7215,LOC6496335,NC_057929.1,14767322,+,LOC6734466,NC_052521.2,11626678,+,LOC6530371,NC_052528.2,12773069,+,LOC108010074,NW_023496807.1,9723760,-,LOC108160314,NC_046676.1,11225105,+,LOC117136567,NC_046668.1,12762798,+,LOC6609127,NC_045950.1,10449215,+,LOC120445858,NC_053017.2,18273852,-,Dmel\CG8613,NT_033778.4,14352231,+
10535at7215,LOC6495905,NC_057929.1,8191645,+,LOC6735895,NC_052521.2,20687819,+,LOC6531847,NC_052528.2,22077342,+,LOC108010160,NW_023496807.1,5789046,+,LOC108160120,NC_046676.1,17937500,+,LOC117136924,NC_046668.1,21847650,+,LOC6615732,NC_045950.1,19537712,+,LOC120445680,NC_053017.2,20911877,+,AIMP3,NT_033778.4,23544024,+
10970at7215,LOC26515249,NC_057929.1,4168861,+,LOC6735419,NC_052521.2,17815174,-,LOC6530767,NC_052528.2,15295067,+,LOC108008591,NW_023496807.1,11276763,+,LOC108158621,NC_046676.1,6732888,-,LOC117137150,NC_046668.1,18958949,-,LOC116800487,NC_045950.1,16686191,-,LOC120444414,NC_053017.2,12175069,+,CG10438,NT_033778.4,20642466,-
11107at7215,LOC6494483,NC_057929.1,11214000,-,LOC6735624,NC_052521.2,18955357,-,LOC6530564,NC_052528.2,14114475,+,LOC108008372,NW_023496807.1,1529088,+,LOC108159765,NC_046676.1,22409905,+,LOC117136684,NC_046668.1,20105709,-,LOC6615440,NC_045950.1,17822261,-,LOC120446426,NC_053017.2,11011763,+,Loxl2,NT_033778.4,21789623,-
11232at7215,LOC6494127,NC_057929.1,15877628,-,LOC6734772,NC_052521.2,13679752,-,LOC6531404,NC_052528.2,19341008,+,LOC108010177,NW_023496807.1,3806415,+,LOC108160255,NC_046676.1,11872264,-,LOC117136933,NC_046668.1,14825000,-,LOC6609447,NC_045950.1,12514662,-,LOC120446356,NC_053017.2,16192717,+,Dmel\CG7848,NT_033778.4,16433852,-
11937at7215,LOC6494237,NC_057929.1,14576496,-,LOC6739512,NC_052521.2,21247907,+,LOC6531988,NC_052528.2,22670199,+,LOC108009160,NW_023496807.1,11897915,+,LOC108157997,NC_046676.1,7688170,-,LOC117137924,NC_046668.1,22407347,+,LOC6613024,NC_045950.1,20099563,+,LOC120446704,NC_053017.2,21484492,+,BEST:GH04269,NT_033778.4,24114398,+
1202at7215,LOC6494591,NC_057929.1,9899068,-,LOC6735282,NC_052521.2,16841457,+,LOC6530917,NC_052528.2,16317157,-,LOC108008772,NW_023496807.1,14538423,+,LOC108161010,NC_046676.1,16238844,-,LOC117137478,NC_046668.1,17975210,+,LOC6609968,NC_045950.1,15717808,+,LOC120445385,NC_053017.2,13173420,-,CG15123,NT_033778.4,19636660,+
14383at7215,LOC6494799,NC_057929.1,7028552,-,LOC6735502,NC_052521.2,18342546,+,LOC6530678,NC_052528.2,14760039,-,LOC108010268,NW_023496807.1,11269867,-,LOC108159871,NC_046676.1,18367688,-,LOC117135680,NC_046668.1,19475451,+,LOC6615322,NC_045950.1,17206626,+,LOC120445024,NC_053017.2,11635676,-,Xpd,NT_033778.4,21171001,+
14495at7215,LOC6495580,NC_057929.1,3787087,+,LOC6735465,NC_052521.2,18149025,-,LOC6530721,NC_052528.2,14947972,+,LOC108009940,NW_023496807.1,7853079,+,LOC108158357,NC_046676.1,18588062,+,LOC117137231,NC_046668.1,19291921,-,LOC6615278,NC_045950.1,17024161,-,LOC120446084,NC_053017.2,11826223,+,Dmel\CG15651,NT_033778.4,20983838,-
15660at7215,LOC6496472,NC_057929.1,16220307,+,LOC6736094,NC_052521.2,21717451,+,LOC6532079,NC_052528.2,23149000,+,LOC108008638,NW_023496807.1,5289871,-,LOC108159536,NC_046676.1,18866351,+,LOC117136337,NC_046668.1,22869051,+,LOC6618842,NC_045950.1,20558701,+,LOC120444505,NC_053017.2,21962018,+,Dmel\CG13587,NT_033778.4,24597995,+
15670at7215,LOC6494461,NC_057929.1,11482705,-,LOC6735658,NC_052521.2,19232045,-,LOC6530525,NC_052528.2,13828500,+,LOC108008438,NW_023496807.1,1185418,+,LOC108159629,NC_046676.1,22117696,+,LOC117138643,NC_046668.1,20382556,-,LOC6615474,NC_045950.1,18096435,-,LOC120447190,NC_053017.2,10725153,+,Dmel\CG2921,NT_033778.4,22073538,-
16008at7215,LOC6495364,NC_057929.1,517060,+,LOC27206165,NC_052521.2,9770538,+,LOC6530100,NC_052528.2,11166164,-,LOC108009923,NW_023496807.1,8830873,-,LOC108160348,NC_046676.1,14826693,-,LOC117138676,NC_046668.1,10901959,+,LOC6608851,NC_045950.1,8614053,+,LOC120444579,NC_053017.2,10070434,-,Lac,NT_033778.4,12453190,+
1607at7215,LOC6494886,NC_057929.1,5976406,-,LOC6734436,NC_052521.2,11435265,+,LOC6530338,NC_052528.2,12580170,+,LOC108010106,NW_023496807.1,9931974,-,LOC117188203,NC_046676.1,13198809,-,LOC117136375,NC_046668.1,12568654,+,LOC6609094,NC_045950.1,10258127,+,LOC120445373,NC_053017.2,18468321,-,O-fut1,NT_033778.4,14161430,+
16148at7215,LOC6495138,NC_057929.1,2773358,-,LOC6734080,NC_052521.2,9347527,+,LOC6530200,NC_052528.2,11612779,-,LOC108010183,NW_023496807.1,10952296,+,LOC108158627,NC_046676.1,7434640,+,LOC117136625,NC_046668.1,10476980,+,LOC6608749,NC_045950.1,8197043,+,LOC120445890,NC_053017.2,19424115,+,RpIII128,NT_033778.4,12039041,+
1660at7215,LOC6494957,NC_057929.1,5136082,-,LOC6735558,NC_052521.2,18519573,-,LOC6530628,NC_052528.2,14575393,+,LOC108008775,NW_023496807.1,12569403,+,LOC108158220,NC_046676.1,24908463,+,LOC117138615,NC_046668.1,19659815,-,LOC6615374,NC_045950.1,17387681,-,LOC120445116,NC_053017.2,11452034,+,Dmel\CG17974,NT_033778.4,21348945,-
16997at7215,LOC6495043,NC_057929.1,4170930,-,LOC6735416,NC_052521.2,17813674,+,LOC6530769,NC_052528.2,15296767,-,LOC108008380,NW_023496807.1,11278700,-,LOC108158623,NC_046676.1,6731255,+,LOC117137152,NC_046668.1,18957464,+,LOC6610105,NC_045950.1,16684628,+,LOC120444419,NC_053017.2,12176764,-,maf-S,NT_033778.4,20640976,+
18806at7215,LOC6494292,NC_057929.1,13883429,-,LOC6734849,NC_052521.2,14242264,+,LOC6531704,NC_052528.2,21262653,-,LOC108009287,NW_023496807.1,3529814,+,LOC108159731,NC_046676.1,8055059,+,LOC117135808,NC_046668.1,15386815,+,LOC6609532,NC_045950.1,13093819,+,LOC120447134,NC_053017.2,20099910,-,AsnRS-m,NT_033778.4,17001994,+
18868at7215,LOC6495729,NC_057929.1,5823953,+,LOC6735979,NC_052521.2,21098168,+,LOC6531941,NC_052528.2,22519524,+,LOC108008328,NW_023496807.1,11737599,+,LOC108159117,NC_046676.1,7864569,-,LOC117138119,NC_046668.1,22257687,+,LOC6615819,NC_045950.1,19948256,+,LOC120444882,NC_053017.2,21333271,+,Alas,NT_033778.4,23964772,+
18958at7215,LOC6495124,NC_057929.1,2912398,-,LOC6734735,NC_052521.2,13473163,+,LOC6531450,NC_052528.2,19545563,-,LOC108009658,NW_023496807.1,4280217,+,LOC108158424,NC_046676.1,21260333,+,LOC117138246,NC_046668.1,14604169,+,LOC6609403,NC_045950.1,12307214,+,LOC120444976,NC_053017.2,16400251,-,Tsf3,NT_033778.4,16226501,+
19049at7215,LOC6494462,NC_057929.1,11480644,-,LOC6735657,NC_052521.2,19229678,-,LOC6530526,NC_052528.2,13830370,+,LOC108009559,NW_023496807.1,1187468,+,LOC108159631,NC_046676.1,22119908,+,LOC117138647,NC_046668.1,20380367,-,LOC6615473,NC_045950.1,18094074,-,LOC120447189,NC_053017.2,10727036,+,Dmel\CG11474,NT_033778.4,22071234,-
19263at7215,LOC6494479,NC_057929.1,11238173,-,LOC6735629,NC_052521.2,18978233,-,LOC6530559,NC_052528.2,14081769,+,LOC108009650,NW_023496807.1,1488881,+,LOC108160521,NC_046676.1,22373560,+,LOC117137600,NC_046668.1,20128591,-,LOC6615445,NC_045950.1,17844961,-,LOC120444290,NC_053017.2,10978836,+,Dmel\CG13492,NT_033778.4,21820662,-
19511at7215,LOC6494293,NC_057929.1,13861894,-,LOC6734853,NC_052521.2,14260724,+,LOC6531700,NC_052528.2,21239133,-,LOC108009795,NW_023496807.1,1119711,-,LOC108159879,NC_046676.1,8072135,+,LOC117136054,NC_046668.1,15405207,+,LOC6609536,NC_045950.1,13112248,+,LOC120444318,NC_053017.2,20076587,-,Dark,NT_033778.4,17020027,+
2102at7215,LOC6496325,NC_057929.1,14659852,+,LOC6734453,NC_052521.2,11517074,+,LOC6530357,NC_052528.2,12663671,+,LOC108008520,NW_023496807.1,9841250,-,LOC108158591,NC_046676.1,18699926,-,LOC117135477,NC_046668.1,12650426,+,LOC6609114,NC_045950.1,10340404,+,LOC120447133,NC_053017.2,18384595,-,SmydA-1,NT_033778.4,14243778,+
21574at7215,LOC6495503,NC_057929.1,2867552,+,LOC6735061,NC_052521.2,15378699,+,LOC6531136,NC_052528.2,17806581,-,LOC108006182,NW_023496807.1,4303921,-,LOC108159669,NC_046676.1,8745454,-,LOC117138352,NC_046668.1,16514541,+,LOC6609745,NC_045950.1,14265366,+,LOC120444351,NC_053017.2,14664142,-,Dmel\CG10914,NT_033778.4,18158257,+
21950at7215,LOC6496617,NC_057929.1,18451690,+,LOC6733922,NC_052521.2,8210872,+,LOC6529348,NC_052528.2,4927790,-,LOC108009840,NW_023496807.1,6654711,-,LOC108158490,NC_046676.1,16727365,-,LOC117136902,NC_046668.1,9360935,+,LOC6608575,NC_045950.1,7071875,+,LOC120445340,NC_053017.2,3881217,-,Pex6,NT_033778.4,10879974,+
23259at7215,LOC6496372,NC_057929.1,15117123,+,LOC6735753,NC_052521.2,19861877,+,LOC6531323,NC_052528.2,18739063,+,LOC108010231,NW_023496807.1,13498115,-,LOC108158565,NC_046676.1,11607581,-,LOC117137840,NC_046668.1,21030263,+,LOC6615586,NC_045950.1,18724014,+,LOC120446441,NC_053017.2,15589793,+,CG30268,NT_033778.4,22712701,+
23429at7215,LOC6495717,NC_057929.1,5754277,+,LOC6735960,NC_052521.2,21030781,+,LOC6531920,NC_052528.2,22452548,+,LOC108010093,NW_023496807.1,13024334,-,LOC108160091,NC_046676.1,6077665,+,LOC117135574,NC_046668.1,22190377,+,LOC6615797,NC_045950.1,19880886,+,LOC120444796,NC_053017.2,21266180,+,DNAlig1,NT_033778.4,23890512,+
23941at7215,LOC6495461,NC_057929.1,2095575,+,LOC6735247,NC_052521.2,16577233,-,LOC6530957,NC_052528.2,16582257,+,LOC108010292,NW_023496807.1,14222878,-,LOC108159199,NC_046676.1,7968459,+,LOC117136761,NC_046668.1,17712269,-,LOC6609925,NC_045950.1,15448670,-,LOC120445821,NC_053017.2,13440500,+,CG9416-PA,NT_033778.4,19367248,-
2408at7215,LOC6495473,NC_057929.1,2323700,+,LOC6734590,NC_052521.2,12461126,-,LOC6530493,NC_052528.2,13636518,-,LOC108008510,NW_023496807.1,13016885,-,LOC108160918,NC_046676.1,10104655,-,LOC117136466,NC_046668.1,13604082,-,LOC6609257,NC_045950.1,11289006,-,LOC120446398,NC_053017.2,17439241,+,Dmel\CG8093,NT_033778.4,15214060,-
24541at7215,LOC26515090,NC_057929.1,14782032,+,LOC27207761,NC_052521.2,11642185,+,LOC26534870,NC_052528.2,12788409,+,LOC108008979,NW_023496807.1,9710661,-,LOC108160384,NC_046676.1,11241682,+,LOC117138211,NC_046668.1,12778196,+,LOC6609131,NC_045950.1,10464607,+,LOC120446627,NC_053017.2,18261050,-,CG30070,NT_033778.4,14369217,+
2488at7215,LOC6496069,NC_057929.1,10693696,+,LOC6734997,NC_052521.2,14985304,-,LOC6531200,NC_052528.2,18206072,+,LOC108010079,NW_023496807.1,4782985,+,LOC108159573,NC_046676.1,19578588,+,LOC117137353,NC_046668.1,16121499,-,LOC6609684,NC_045950.1,13865522,+,LOC120446427,NC_053017.2,15064917,+,Sardh,NT_033778.4,17753555,-
25029at7215,LOC6494213,NC_057929.1,14891257,-,LOC6734490,NC_052521.2,11761894,-,LOC6530394,NC_052528.2,12907292,-,LOC108010113,NW_023496807.1,9576838,+,LOC108159289,NC_046676.1,10543193,+,LOC117138664,NC_046668.1,12897433,-,LOC6609153,NC_045950.1,10589886,-,LOC120444342,NC_053017.2,18138860,+,Cpsf160,NT_033778.4,14497347,-
27051at7215,LOC6495742,NC_057929.1,5906249,+,LOC6734451,NC_052521.2,11503939,-,LOC6530354,NC_052528.2,12650643,-,LOC108009383,NW_023496807.1,9852561,+,LOC108158573,NC_046676.1,18712505,+,LOC117138442,NC_046668.1,12637308,-,LOC6609111,NC_045950.1,10327284,-,LOC120447079,NC_053017.2,18395054,+,Opa1,NT_033778.4,14230611,-
27403at7215,LOC6495727,NC_057929.1,5815445,+,LOC6739503,NC_052521.2,21091336,+,LOC6531938,NC_052528.2,22512472,+,LOC108010200,NW_023496807.1,11730457,+,LOC117188315,NC_046676.1,6153392,+,LOC117137539,NC_046668.1,22250755,+,LOC6615816,NC_045950.1,19941346,+,LOC120446371,NC_053017.2,21326158,+,alpha-Catr,NT_033778.4,23957842,+
27407at7215,LOC6495163,NC_057929.1,2389435,-,LOC6734583,NC_052521.2,12394877,+,LOC6530486,NC_052528.2,13568650,+,LOC108010307,NW_023496807.1,12940548,+,LOC108158198,NC_046676.1,10033647,+,LOC117138220,NC_046668.1,13537576,+,LOC6609249,NC_045950.1,11223193,+,LOC120446644,NC_053017.2,17506524,-,Dmel\CG7544,NT_033778.4,15147860,+
29323at7215,LOC6495670,NC_057929.1,5441961,+,LOC6734550,NC_052521.2,12132065,+,LOC6530452,NC_052528.2,13280886,+,LOC108010175,NW_023496807.1,9158047,-,LOC108158600,NC_046676.1,13192052,-,LOC117137154,NC_046668.1,13269602,+,LOC6609217,NC_045950.1,10958589,+,LOC120445518,NC_053017.2,17777441,-,HPS1,NT_033778.4,14855429,+
29743at7215,LOC6494929,NC_057929.1,5622628,-,LOC6734128,NC_052521.2,9650819,-,LOC6530137,NC_052528.2,11310304,+,LOC108010142,NW_023496807.1,8964063,+,LOC108160396,NC_046676.1,13150832,-,LOC117136428,NC_046668.1,10774511,-,LOC6608814,NC_045950.1,8496699,-,LOC120445931,NC_053017.2,10207947,+,Dmel\CG8839,NT_033778.4,12339610,-
30154at7215,LOC6494206,NC_057929.1,14927540,-,LOC6734930,NC_052521.2,14768991,+,LOC6531267,NC_052528.2,18428128,-,LOC108009058,NW_023496807.1,557928,-,LOC108159399,NC_046676.1,10237731,-,LOC117135589,NC_046668.1,15905593,+,LOC6609619,NC_045950.1,13651864,+,LOC120444727,NC_053017.2,15287378,-,eIF3b,NT_033778.4,17536213,+
30503at7215,LOC6496385,NC_057929.1,15249481,+,LOC6735770,NC_052521.2,19994122,+,LOC6531723,NC_052528.2,21380111,+,LOC108008748,NW_023496807.1,13339521,-,LOC108159809,NC_046676.1,11452185,-,LOC117136716,NC_046668.1,21163066,+,LOC6615606,NC_045950.1,18854510,+,LOC120446641,NC_053017.2,20214035,+,Dmel\CG9826,NT_033778.4,22840739,+
31335at7215,LOC6494138,NC_057929.1,15728086,-,LOC6734747,NC_052521.2,13528278,-,LOC6531435,NC_052528.2,19491766,+,LOC108008736,NW_023496807.1,3981854,+,LOC108159149,NC_046676.1,11722986,-,LOC117138116,NC_046668.1,14659638,-,LOC6609418,NC_045950.1,12362634,-,LOC120446381,NC_053017.2,16345693,+,Dmel\CG7755,NT_033778.4,16281630,-
32177at7215,LOC6496011,NC_057929.1,9837194,+,LOC6735303,NC_052521.2,16902180,-,LOC6530896,NC_052528.2,16251682,+,LOC108008959,NW_023496807.1,14622991,-,LOC108158372,NC_046676.1,16173389,+,LOC117136204,NC_046668.1,18038651,-,LOC6609989,NC_045950.1,15780916,-,LOC120445697,NC_053017.2,13107983,+,Obp56c,NT_033778.4,19699995,-
